date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:28	94377/94377	---MCZ	200	added ('OK')	text/html	etag:W/%2248517c09fea920883ec73980a4ffc06b%22	https://stmatts.org/respectlife	stmatts.org/respectlife.html	(from https://stmatts.org/)
22:48:29	94666/94666	---MCZ	200	added ('OK')	text/html	etag:W/%22da1956ddb568caa4acddb518eda91351%22	https://stmatts.org/spiritual-direction	stmatts.org/spiritual-direction.html	(from https://stmatts.org/)
22:48:30	97265/97265	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:29%20GMT	https://stmatts.org/support-ministry	stmatts.org/support-ministry.html	(from https://stmatts.org/)
22:48:31	97313/97313	---MCZ	200	added ('OK')	text/html	etag:W/%2295678f582dc5facd8b80ab6eb57f07db%22	https://stmatts.org/coping-with-loss	stmatts.org/coping-with-loss.html	(from https://stmatts.org/)
22:48:32	99310/99310	---MCZ	200	added ('OK')	text/html	etag:W/%22089d1640f88c7b26c9017f8de7d2f744%22	https://stmatts.org/widowsandwidowerscopingwithlossgroup	stmatts.org/widowsandwidowerscopingwithlossgroup.html	(from https://stmatts.org/)
22:48:33	102048/102048	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:32%20GMT	https://stmatts.org/youngadultministry	stmatts.org/youngadultministry.html	(from https://stmatts.org/)
22:48:34	97707/97707	---MCZ	200	added ('OK')	text/html	etag:W/%2266ebc82944e22f708ca41bf96dec01a5%22	https://stmatts.org/adult-organizations	stmatts.org/adult-organizations.html	(from https://stmatts.org/)
22:48:35	96327/96327	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:34%20GMT	https://stmatts.org/catholic-daughters	stmatts.org/catholic-daughters.html	(from https://stmatts.org/)
22:48:36	96174/96174	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:35%20GMT	https://stmatts.org/guadalupanos	stmatts.org/guadalupanos.html	(from https://stmatts.org/)
22:48:37	106291/106291	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:36%20GMT	https://stmatts.org/holynamemensclub	stmatts.org/holynamemensclub.html	(from https://stmatts.org/)
22:48:38	96067/96067	---MCZ	200	added ('OK')	text/html	etag:W/%228f424b6c0988aac93631f9a2ff13a798%22	https://stmatts.org/knights-of-columbus	stmatts.org/knights-of-columbus.html	(from https://stmatts.org/)
22:48:39	96032/96032	---MCZ	200	added ('OK')	text/html	etag:W/%225a9f93e142c2db637807b1ee9d3f966e%22	https://stmatts.org/legion-of-mary	stmatts.org/legion-of-mary.html	(from https://stmatts.org/)
22:48:40	97755/97755	---MCZ	200	added ('OK')	text/html	etag:W/%228661e9064d8a7dad44d3b4d40bb5fddb%22	https://stmatts.org/social-service-outreach	stmatts.org/social-service-outreach.html	(from https://stmatts.org/)
22:48:41	97816/97816	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:40%20GMT	https://stmatts.org/seniorcenter	stmatts.org/seniorcenter.html	(from https://stmatts.org/)
22:48:42	93177/93177	---MCZ	200	added ('OK')	text/html	etag:W/%22d18b8152de52a0ddb8a7c4ce1e92edac%22	https://stmatts.org/svdp	stmatts.org/svdp.html	(from https://stmatts.org/)
22:48:43	124782/124782	---MCZ	200	added ('OK')	text/html	etag:W/%22ff81f74a214671033014c0506c333251%22	https://stmatts.org/facilities-reservation-request	stmatts.org/facilities-reservation-request.html	(from https://stmatts.org/)
